Item Number,number,Quantity,Equipment,Module,Level of significance,Category,Other Information,UOM,ST,Description 1,Description 2,Search Text,Unit Cost,Extended Cost,jdelitm,prp1,prp2,file_name,Type,DIM,Comm Class,Supplier,Item Pool,Drawing2
24100051,,4,,48,,,,EA,B,"WASHER;FLAT 0.375""","1.000"" OD;ZINC PLATED[GR.5]",USS,0.0203,,24100051,Inch Fastener,Nut & Washer,RP_0.375.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100032,,2,,48,,,,EA,B,HEX.HD.CAP SCREW,"1/2-13UNC X 2.000""",ZINC PLATED [GR.5],0.2051,,24100032,Inch Fastener,Hex.Head Product & Screw,VTHE_0.500-13X2.000_G,000_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100014,,2,,48,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 1.000""",ZINC PLATED [GR.5],0.0594,,24100014,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X1.000_G,000_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100003,,1,,48,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 1.500""",ZINC PLATED [GR.5],0.0315,,24100003,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X1.500_G,500_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
202144,,10,,48,,,,EA,B,HEX.NYLON INSERT LOCKNUT,1/2-13UNC,ZINC PLATED [GR.5],0.0704,,202144,Inch Fastener,Nut & Washer,E_AB_0.500-13.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
162093_replace_me,,8,,48,,,,EA,B,CARRIAGE BOLT,"1/2-13UNC X 1.75""",ZINC PLATED [GR.5],0.5395,,162093,Inch Fastener,Hex.Head Product & Screw,162093.PAR           ,par,,50,7,FASTENAL CANADA LTD.(CAD)(KITC,
24100060,,3,,48,,,,EA,B,WASHER;SPRING LOCK,"0.500""",ZINC PLATED,0.0326,,24100060,Inch Fastener,Nut & Washer,RR_0.500.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100069,,2,,48,,,,EA,B,HEX.HD.CAP SCREW,"5/16-18UNC X 1.250""",ZINC PLATED [GR.5],0.0431,,24100069,Inch Fastener,Hex.Head Product & Screw,VTHE_0.313-18X1.250_G,250_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100083,,2,,48,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 2.250""",ZINC PLATED [GR.5],0.1158,,24100083,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X2.250_G,250_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100081,,8,,48,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 1.250""",ZINC PLATED [GR.5],0.0684,,24100081,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X1.250_G,250_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101583,,2,,48,,,,EA,B,WASHER;SPRING LOCK,#10,ZINC PLATED,0.0054,,24101583,Inch Fastener,Nut & Washer,RR_0.190.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101224,,9,,48,,,,EA,B,WASHER;SPRING LOCK,M8,ZINC PLATED,0.0099,,24101224,Metric Fastener,Nut & Washer,RR_M08.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101217,,14,,48,,,,EA,B,WASHER;FLAT M5,10MM OD;ZINC PLATED[GR.5],DIN 125A,0.0054,,24101217,Metric Fastener,Nut & Washer,RP_M05.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101206,,8,,48,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 30MM,ZINC PLATED [CL8.8],0.0817,,24101206,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X030_CLS,50x030_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101200,,5,,48,,,,EA,B,HEX.HD.CAP SCREW,M8-1.25 X 25MM,ZINC PLATED [CL8.8],0.0499,,24101200,Metric Fastener,Hex.Head Product & Screw,VTHE_M08-1.25X025_CLS,25x025_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101194,,8,,48,,,,EA,B,HEX.HD.CAP SCREW,M6-1.00 X 20MM,ZINC PLATED [CL8.8],0.0286,,24101194,Metric Fastener,Hex.Head Product & Screw,VTHE_M06-1.00X020_CLS,00x020_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101223,,8,,48,,,,EA,B,WASHER;SPRING LOCK,M6,ZINC PLATED,0.0088,,24101223,Metric Fastener,Nut & Washer,RR_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
