Item Number,number,Quantity,Equipment,Module,Level of significance,Category,Other Information,UOM,ST,Description 1,Description 2,Search Text,Unit Cost,Extended Cost,jdelitm,prp1,prp2,file_name,Type,DIM,Comm Class,Supplier,Item Pool,Drawing2
24100503,,8,,58,,,,EA,B,HEX.NYLON INSERT LOCKNUT,5/16-18UNC,ZINC PLATED [GR.2],0.0173,,24100503,Inch Fastener,Nut & Washer,E_AB_0.313-18.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100360,,4,,58,,,,EA,B,HEX.SOC.SET SCREW CUP POINT,"3/8-16UNC X 0.750""",ZINC PLATED [A574],0.075,,24100360,Inch Fastener,Hex.Socket Head Product,VP_0.375-16X0.750.PAR,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100178,,2,,58,,,,EA,B,HEX.NYLON INSERT LOCKNUT,3/4-10UNC,ZINC PLATED [GR.2],0.1927,,24100178,Inch Fastener,Nut & Washer,E_AB_0.750-10.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100175,,8,,58,,,,EA,B,HEX.NYLON INSERT LOCKNUT,3/8-16UNC,ZINC PLATED [GR.2],0.0293,,24100175,Inch Fastener,Nut & Washer,E_AB_0.375-16.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101224,,12,,58,,,,EA,B,WASHER;SPRING LOCK,M8,ZINC PLATED,0.0099,,24101224,Metric Fastener,Nut & Washer,RR_M08.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100109,,2,,58,,,,EA,B,HEX.HD.CAP SCREW,"1/2-13UNC X 5.000""",ZINC PLATED [GR.5],0.3833,,24100109,Inch Fastener,Hex.Head Product & Screw,VTHE_0.500-13X5.000_G,000_g,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100130,,2,,58,,,,EA,B,HEX.HD.CAP SCREW,"3/4-10UNC X 5.000""",ZINC PLATED [GR.5],0.8963,,24100130,Inch Fastener,Hex.Head Product & Screw,VTHE_0.750-10X5.000_G,000_g,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100001,,4,,58,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 0.750""",ZINC PLATED [GR.5],0.0217,,24100001,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X0.750_G,750_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100003,,4,,58,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 1.500""",ZINC PLATED [GR.5],0.0315,,24100003,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X1.500_G,500_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100015,,8,,58,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 1.500""",ZINC PLATED [GR.5],0.0805,,24100015,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X1.500_G,500_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100033,,2,,58,,,,EA,B,HEX.HD.CAP SCREW,"1/2-13UNC X 2.500""",ZINC PLATED [GR.5],0.2504,,24100033,Inch Fastener,Hex.Head Product & Screw,VTHE_0.500-13X2.500_G,500_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100034,,2,,58,,,,EA,B,HEX.HD.CAP SCREW,"1/2-13UNC X 3.000""",ZINC PLATED [GR.5],0.2695,,24100034,Inch Fastener,Hex.Head Product & Screw,VTHE_0.500-13X3.000_G,000_g,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100032,,13,,58,,,,EA,B,HEX.HD.CAP SCREW,"1/2-13UNC X 2.000""",ZINC PLATED [GR.5],0.2051,,24100032,Inch Fastener,Hex.Head Product & Screw,VTHE_0.500-13X2.000_G,000_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100051,,8,,58,,,,EA,B,"WASHER;FLAT 0.375""","1.000"" OD;ZINC PLATED[GR.5]",USS,0.0203,,24100051,Inch Fastener,Nut & Washer,RP_0.375.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100056,,24,,58,,,,EA,B,WASHER;SPRING LOCK,"0.250""",ZINC PLATED,0.0056,,24100056,Inch Fastener,Nut & Washer,RR_0.250.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100060,,4,,58,,,,EA,B,WASHER;SPRING LOCK,"0.500""",ZINC PLATED,0.0326,,24100060,Inch Fastener,Nut & Washer,RR_0.500.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100063,,4,,58,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 1.250""",ZINC PLATED [GR.5],0.0268,,24100063,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X1.250_G,250_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100075,,8,,58,,,,EA,B,HEX.HD.CAP SCREW,"5/16-18UNC X 4.000""",ZINC PLATED [GR.5],0.2599,,24100075,Inch Fastener,Hex.Head Product & Screw,VTHE_0.313-18X4.000_G,000_g,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100085,,4,,58,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 3.250""",ZINC PLATED [GR.5],0.2224,,24100085,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X3.250_G,250_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24105323,,1,,59,,,,EA,B,HEX.NYLON INSERT LOCKNUT,3/4-16UNF,ZINC PLATED [GR.8],0.3764,,24105323,Inch Fastener,Nut & Washer,E_AB_0.750-16_GR8.PAR,par,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104548,,5,,59,,,,EA,B,WASHER;SPRING LOCK,M10,ZINC PLATED,0.0505,,24104548,Metric Fastener,Nut & Washer,RR_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101223,,2,,59,,,,EA,B,WASHER;SPRING LOCK,M6,ZINC PLATED,0.0088,,24101223,Metric Fastener,Nut & Washer,RR_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104539,,1,,59,,,,EA,B,WASHER;FLAT M20,37MM OD;ZINC PLATED[GR.5],DIN 125A,0.077,,24104539,Metric Fastener,Nut & Washer,RP_M20.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100056,,22,,59,,,,EA,B,WASHER;SPRING LOCK,"0.250""",ZINC PLATED,0.0056,,24100056,Inch Fastener,Nut & Washer,RR_0.250.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100053,,42,,59,,,,EA,B,"WASHER;FLAT 0.500""","1.375"" OD;ZINC PLATED[GR.5]",USS,0.042,,24100053,Inch Fastener,Nut & Washer,RP_0.500.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100052,,1,,59,,,,EA,B,"WASHER;FLAT 0.438""","1.250"" OD;ZINC PLATED[GR.5]",USS,0.0261,,24100052,Inch Fastener,Nut & Washer,RP_0.4375.PAR        ,par,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100030,,6,,59,,,,EA,B,HEX.HD.CAP SCREW,"1/2-13UNC X 1.000""",ZINC PLATED [GR.5],0.1333,,24100030,Inch Fastener,Hex.Head Product & Screw,VTHE_0.500-13X1.000_G,000_g,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100022,,1,,59,,,,EA,B,HEX.HD.CAP SCREW,"7/16-14UNC X 1.000""",ZINC PLATED [GR.5],0.1524,,24100022,Inch Fastener,Hex.Head Product & Screw,VTHE_0.438-14X1.000_G,000_g,,50,7,FASTENAL CANADA LTD.(CAD)(KITC,
24100016,,1,,59,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 2.000""",ZINC PLATED [GR.5],0.1115,,24100016,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X2.000_G,000_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100014,,1,,59,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 1.000""",ZINC PLATED [GR.5],0.0594,,24100014,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X1.000_G,000_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100001,,14,,59,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 0.750""",ZINC PLATED [GR.5],0.0217,,24100001,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X0.750_G,750_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100059,,1,,59,,,,EA,B,WASHER;SPRING LOCK,"0.438""",ZINC PLATED,0.031,,24100059,Inch Fastener,Nut & Washer,RR_0.438.PAR         ,par,,50,7,FASTENAL CANADA LTD.(CAD)(KITC,
202144,,18,,59,,,,EA,B,HEX.NYLON INSERT LOCKNUT,1/2-13UNC,ZINC PLATED [GR.5],0.0704,,202144,Inch Fastener,Nut & Washer,E_AB_0.500-13.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
146385,,2,,59,,,,EA,B,HEX.HD.CAP SCREW-FULL THD.,"1/4-20UNC X 2.250""",ZINC PLATED [GR.5],0.0844,,146385,Inch Fastener,Hex.Head Product & Screw,146385.par           ,par,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104541,,24,,59,,,,EA,B,WASHER;FLAT M6,12MM OD;ZINC PLATED[GR.5],DIN 125A,0.0046,,24104541,Metric Fastener,Nut & Washer,RP_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100060,,6,,59,,,,EA,B,WASHER;SPRING LOCK,"0.500""",ZINC PLATED,0.0326,,24100060,Inch Fastener,Nut & Washer,RR_0.500.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100102,,18,,59,,,,EA,B,HEX.HD.CAP SCREW,"1/2-13UNC X 1.750""",ZINC PLATED [GR.5],0.1695,,24100102,Inch Fastener,Hex.Head Product & Screw,VTHE_0.500-13X1.750_G,750_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104537,,6,,59,,,,EA,B,WASHER;FLAT M12,24MM OD;ZINC PLATED[GR.5],DIN 125A,0.0287,,24104537,Metric Fastener,Nut & Washer,RP_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100063,,8,,59,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 1.250""",ZINC PLATED [GR.5],0.0268,,24100063,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X1.250_G,250_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104537,,6,,59,,,,EA,B,WASHER;FLAT M12,24MM OD;ZINC PLATED[GR.5],DIN 125A,0.0287,,24104537,Metric Fastener,Nut & Washer,RP_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104536,,7,,59,,,,EA,B,WASHER;FLAT M10,20MM OD;ZINC PLATED[GR.5],DIN 125A,0.0164,,24104536,Metric Fastener,Nut & Washer,RP_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104512,,2,,59,,,,EA,B,HEX.HD.CAP SCREW,M12-1.75 X 40MM,ZINC PLATED [CL8.8],0.1524,,24104512,Metric Fastener,Hex.Head Product & Screw,VTHE_M12-1.75X040_CLS,75x040_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24103897,,2,,59,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M12-1.75,ZINC PLATED [CL8.8],0.0585,,24103897,Metric Fastener,Nut & Washer,E_AB_M12-1.75.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24103897,,2,,59,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M12-1.75,ZINC PLATED [CL8.8],0.0585,,24103897,Metric Fastener,Nut & Washer,E_AB_M12-1.75.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24102962,,2,,59,,,,EA,B,HEX.JAM NUT,1/4-20UNC,ZINC PLATED [GR.5],0.0087,,24102962,Inch Fastener,Nut & Washer,E_CE_0.250-20.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101593,,4,,59,,,,EA,B,HEX.SOC.CAP SCREW,"#10-24UNC X 0.750""",ZINC PLATED [A574],0.0405,,24101593,Inch Fastener,Hex.Socket Head Product,VTCY_0.190-24X0.750.p,p,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100175,,1,,59,,,,EA,B,HEX.NYLON INSERT LOCKNUT,3/8-16UNC,ZINC PLATED [GR.2],0.0293,,24100175,Inch Fastener,Nut & Washer,E_AB_0.375-16.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101463,,8,,59,,,,EA,B,HEX.SOC.CAP SCREW,M6-1.00 X 20MM,ZINC PLATED [CL8.8],0.041,,24101463,Metric Fastener,Hex.Socket Head Product,VTCY_M06-1.00X020.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101222,,4,,59,,,,EA,B,WASHER;SPRING LOCK,M5,ZINC PLATED,0.0062,,24101222,Metric Fastener,Nut & Washer,RR_M05.PAR           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101193,,2,,59,,,,EA,B,HEX.HD.CAP SCREW,M6-1.00 X 16MM,ZINC PLATED [CL8.8],0.0214,,24101193,Metric Fastener,Hex.Head Product & Screw,VTHE_M06-1.00X016_CLS,00x016_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101614,,6,,59,,,,EA,B,HEX.SOC.FH.CAP SCREW,"#10-24UNC X 0.500""",ZINC PLATED [A574],0.0261,,24101614,Inch Fastener,Hex.Socket Head Product,VTFR_0.190-24X0.500.P,p,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100791,,4,,59,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 25MM,ZINC PLATED [CL8.8],0.0795,,24100791,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X025_CLS,50x025_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24109007,,12,,62,,,,EA,B,HEX.SOC.CAP SCREW,M6-1.00 X 40MM,ZINC PLATED [CL8.8],0.1249,,24109007,Metric Fastener,Hex.Socket Head Product,VTCY_M06-1.00X040.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104536,,111,,62,,,,EA,B,WASHER;FLAT M10,20MM OD;ZINC PLATED[GR.5],DIN 125A,0.0164,,24104536,Metric Fastener,Nut & Washer,RP_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104733,,4,,62,,,,EA,B,HEX.SOC.CAP SCREW,M4-0.70 X 35MM,ZINC PLATED [CL8.8],0.042,,24104733,Metric Fastener,Hex.Socket Head Product,VTCY_M04-0.70X035.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104718,,8,,62,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 45MM,ZINC PLATED [CL8.8],0.132,,24104718,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X045_CLS,50x045_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104717,,11,,62,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 35MM,ZINC PLATED [CL8.8],0.1049,,24104717,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X035_CLS,50x035_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104555,,8,,62,,,,EA,B,HEX.SOC.FH.CAP SCREW,M6-1.00 X 60MM,ZINC PLATED [CL8.8],0.1268,,24104555,Metric Fastener,Hex.Socket Head Product,VTFR_M06-1.00X060.par,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
24104548,,16,,62,,,,EA,B,WASHER;SPRING LOCK,M10,ZINC PLATED,0.0505,,24104548,Metric Fastener,Nut & Washer,RR_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104541,,118,,62,,,,EA,B,WASHER;FLAT M6,12MM OD;ZINC PLATED[GR.5],DIN 125A,0.0046,,24104541,Metric Fastener,Nut & Washer,RP_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104539,,6,,62,,,,EA,B,WASHER;FLAT M20,37MM OD;ZINC PLATED[GR.5],DIN 125A,0.077,,24104539,Metric Fastener,Nut & Washer,RP_M20.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104525,,6,,62,,,,EA,B,HEX.JAM NUT,M6-1.00,ZINC PLATED [CL8.8],0.0103,,24104525,Metric Fastener,Nut & Washer,E_CE_M06-1.00.PAR    ,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
24104102,,56,,62,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M10-1.50,ZINC PLATED [CL8.8],0.0475,,24104102,Metric Fastener,Nut & Washer,E_AB_M10-1.50.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104065,,1,,62,,,,EA,B,HEX.JAM NUT,3/4-16UNF,ZINC PLATED [GR.5],0.1283,,24104065,Inch Fastener,Nut & Washer,E_CE_0.750-16.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104064,,1,,62,,,,EA,B,HEX.JAM NUT-LEFT THD.,3/4-16UNF,ZINC PLATED [GR.5],0.3443,,24104064,Inch Fastener,Nut & Washer,E_CE_0.750-16_LH.PAR ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101501,,92,,62,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M6-1.00,ZINC PLATED [CL8.8],0.0139,,24101501,Metric Fastener,Nut & Washer,E_AB_M06-1.00.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24106038,,2,,62,,,,EA,B,HEX.HD.CAP SCREW,"3/4-10UNC X 2.750""",ZINC PLATED [GR.5],0.6303,,24106038,Inch Fastener,Hex.Head Product & Screw,VTHE_0.750-10X2.750_G,750_g,,50,7,FASTENAL CANADA LTD.(CAD)(KITC,
24101496,,4,,62,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M4-0.70,ZINC PLATED [CL8.8],0.0113,,24101496,Metric Fastener,Nut & Washer,E_AB_M04-0.70.PAR    ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101473,,4,,62,,,,EA,B,HEX.SOC.FH.CAP SCREW,M6-1.00 X 50MM,ZINC PLATED [CL8.8],0.2255,,24101473,Metric Fastener,Hex.Socket Head Product,VTFR_M06-1.00X050.par,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
24101463,,8,,62,,,,EA,B,HEX.SOC.CAP SCREW,M6-1.00 X 20MM,ZINC PLATED [CL8.8],0.041,,24101463,Metric Fastener,Hex.Socket Head Product,VTCY_M06-1.00X020.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
121128,,6,,62,,,,EA,B,CARRIAGE BOLT,M10-1.50 X 35MM,ZINC PLATED [CL8.8],0.1767,,121128,Metric Fastener,Hex.Head Product & Screw,121128.par           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101464,,16,,62,,,,EA,B,HEX.SOC.CAP SCREW,M6-1.00 X 25MM,ZINC PLATED [CL8.8],0.0538,,24101464,Metric Fastener,Hex.Socket Head Product,VTCY_M06-1.00X025.par,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101223,,38,,62,,,,EA,B,WASHER;SPRING LOCK,M6,ZINC PLATED,0.0088,,24101223,Metric Fastener,Nut & Washer,RR_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101222,,8,,62,,,,EA,B,WASHER;SPRING LOCK,M5,ZINC PLATED,0.0062,,24101222,Metric Fastener,Nut & Washer,RR_M05.PAR           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101221,,16,,62,,,,EA,B,WASHER;SPRING LOCK,M4,ZINC PLATED,0.014,,24101221,Metric Fastener,Nut & Washer,RR_M04.PAR           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101217,,8,,62,,,,EA,B,WASHER;FLAT M5,10MM OD;ZINC PLATED[GR.5],DIN 125A,0.0054,,24101217,Metric Fastener,Nut & Washer,RP_M05.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101216,,24,,62,,,,EA,B,WASHER;FLAT M4,9MM OD;ZINC PLATED[GR.5],DIN 125A,0.0026,,24101216,Metric Fastener,Nut & Washer,RP_M04.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101209,,4,,62,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 60MM,ZINC PLATED [CL8.8],0.1282,,24101209,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X060_CLS,50x060_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101195,,16,,62,,,,EA,B,HEX.HD.CAP SCREW,M6-1.00 X 25MM,ZINC PLATED [CL8.8],0.0264,,24101195,Metric Fastener,Hex.Head Product & Screw,VTHE_M06-1.00X025_CLS,00x025_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101192,,10,,62,,,,EA,B,HEX.HD.CAP SCREW,M6-1.00 X 12MM,ZINC PLATED [CL8.8],0.0245,,24101192,Metric Fastener,Hex.Head Product & Screw,VTHE_M06-1.00X012_CLS,00x012_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101191,,8,,62,,,,EA,B,HEX.HD.CAP SCREW,M5-0.80 X 25MM,ZINC PLATED [CL8.8],0.0298,,24101191,Metric Fastener,Hex.Head Product & Screw,VTHE_M05-0.80X025_CLS,80x025_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100791,,8,,62,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 25MM,ZINC PLATED [CL8.8],0.0795,,24100791,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X025_CLS,50x025_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100599,,8,,62,,,,EA,B,HEX.SOC.SET SCREW CUP POINT,"1/4-20UNC X 0.250""",ZINC PLATED [A574],0.0655,,24100599,Inch Fastener,Hex.Socket Head Product,VP_0.250-20X0.250.PAR,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100178,,2,,62,,,,EA,B,HEX.NYLON INSERT LOCKNUT,3/4-10UNC,ZINC PLATED [GR.2],0.1927,,24100178,Inch Fastener,Nut & Washer,E_AB_0.750-10.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101206,,17,,62,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 30MM,ZINC PLATED [CL8.8],0.0817,,24101206,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X030_CLS,50x030_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100049,,18,,62,,,,EA,B,"WASHER;FLAT 0.250""","0.734"" OD;ZINC PLATED[GR.5]",USS,0.0103,,24100049,Inch Fastener,Nut & Washer,RP_0.250.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
185502,,9,,62,,,,EA,B,CARRIAGE BOLT,M10-1.50 X 30MM,ZINC PLATED [CL8.8],0.222,,185502,Metric Fastener,Hex.Head Product & Screw,185502.par           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100051,,5,,62,,,,EA,B,"WASHER;FLAT 0.375""","1.000"" OD;ZINC PLATED[GR.5]",USS,0.0203,,24100051,Inch Fastener,Nut & Washer,RP_0.375.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
185514,,12,,62,,,,EA,B,CARRIAGE BOLT,M6-1.00 X 20MM,ZINC PLATED [CL8.8],0.2608,,185514,Metric Fastener,Hex.Head Product & Screw,185514.par           ,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
185628,,6,,62,,,,EA,B,HEX.HD.CAP SCREW-FULL THD.,M6-1.00 X 30MM,ZINC PLATED [CL8.8],0.0491,,185628,Metric Fastener,Hex.Head Product & Screw,185628.par           ,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
185693,,16,,62,,,,EA,B,HEX.SOC.CAP SCREW,M4-0.70 X 10MM,ZINC PLATED [CL8.8],0.1655,,185693,Metric Fastener,Hex.Socket Head Product,185693.par           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
210635,,56,,62,,,,EA,O,SEE 222969,CARRIAGE BOLT M6-1.00 X 70MM,ZINC PLATED [CL4.6],0,,210635,Metric Fastener,Hex.Head Product & Screw,210635.par           ,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
24100014,,8,,62,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 1.000""",ZINC PLATED [GR.5],0.0594,,24100014,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X1.000_G,000_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24106038,,2,,63,,,,EA,B,HEX.HD.CAP SCREW,"3/4-10UNC X 2.750""",ZINC PLATED [GR.5],0.6303,,24106038,Inch Fastener,Hex.Head Product & Screw,VTHE_0.750-10X2.750_G,750_g,,50,7,FASTENAL CANADA LTD.(CAD)(KITC,
24109007,,12,,63,,,,EA,B,HEX.SOC.CAP SCREW,M6-1.00 X 40MM,ZINC PLATED [CL8.8],0.1249,,24109007,Metric Fastener,Hex.Socket Head Product,VTCY_M06-1.00X040.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104733,,2,,63,,,,EA,B,HEX.SOC.CAP SCREW,M4-0.70 X 35MM,ZINC PLATED [CL8.8],0.042,,24104733,Metric Fastener,Hex.Socket Head Product,VTCY_M04-0.70X035.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104718,,4,,63,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 45MM,ZINC PLATED [CL8.8],0.132,,24104718,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X045_CLS,50x045_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24102425,,8,,63,,,,EA,B,WASHER;FLAT M8,16MM OD;ZINC PLATED[GR.5],DIN 125A,0.0099,,24102425,Metric Fastener,Nut & Washer,RP_M08.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104555,,8,,63,,,,EA,B,HEX.SOC.FH.CAP SCREW,M6-1.00 X 60MM,ZINC PLATED [CL8.8],0.1268,,24104555,Metric Fastener,Hex.Socket Head Product,VTFR_M06-1.00X060.par,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
24101473,,8,,63,,,,EA,B,HEX.SOC.FH.CAP SCREW,M6-1.00 X 50MM,ZINC PLATED [CL8.8],0.2255,,24101473,Metric Fastener,Hex.Socket Head Product,VTFR_M06-1.00X050.par,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
24101494,,2,,63,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M3-0.50,ZINC PLATED [CL8.8],0.0137,,24101494,Metric Fastener,Nut & Washer,E_AB_M03-0.50.PAR    ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101501,,85,,63,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M6-1.00,ZINC PLATED [CL8.8],0.0139,,24101501,Metric Fastener,Nut & Washer,E_AB_M06-1.00.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
